class,schema,title,range,low,high,special,footnotes,arcrit,mcr,prob,wwg,nt,cbid
1733,CU70,ACCOUNT CLERK II,,"$2,471.00","$3,097.00",SISA,,,1,6,2,,R04
4915,ME10,"ACCOUNT MANAGER, CALIFORNIA EXPOSITION AND STATE FAIR",,"$5,553.00","$6,901.00",,"['01', '43']",,1,12,E,,S01
4177,JL32,ACCOUNTANT I (SPECIALIST),A,"$3,000.00","$3,757.00",,,,1,6,2,,R01
4177,JL32,ACCOUNTANT I (SPECIALIST),L,"$3,000.00","$3,757.00",,,,1,6,2,,R01
4180,JL30,ACCOUNTANT I (SUPERVISOR),,"$3,154.00","$3,864.00",,"['01', '43']",,1,12,2,,S01
4179,JL35,ACCOUNTANT TRAINEE,A,"$3,388.00","$4,040.00",,['01'],['285'],1,12,2,,R01
4179,JL35,ACCOUNTANT TRAINEE,L,"$3,388.00","$4,040.00",,['01'],['285'],1,12,2,,R01
4552,JL16,ACCOUNTING ADMINISTRATOR I (SPECIALIST),,"$5,053.00","$6,325.00",,['19'],,1,6,2,,R01
4549,JL14,ACCOUNTING ADMINISTRATOR I (SUPERVISOR),,"$5,311.00","$6,598.00",,"['01', '19']",,1,12,E,,S01
4542,JL12,ACCOUNTING ADMINISTRATOR II,,"$5,830.00","$7,245.00",,"['01', '19']",,1,12,E,,S01
4545,JL10,ACCOUNTING ADMINISTRATOR III,,"$7,088.00","$8,048.00",,"['01', '19']",,1,12,E,,M01
4582,JM12,ACCOUNTING ANALYST,A,"$3,247.00","$3,689.00",,"['01', '19', '21']",['206'],1,12,2,,R01
4582,JM12,ACCOUNTING ANALYST,B,"$3,350.00","$3,992.00",,"['01', '19', '21']",['206'],1,12,2,,R01
4582,JM12,ACCOUNTING ANALYST,C,"$4,016.00","$5,029.00",,"['01', '19', '21']",['206'],1,12,2,,R01
4546,JL26,ACCOUNTING OFFICER (SPECIALIST),A,"$4,016.00","$5,029.00",,['19'],,1,6,2,,R01
4546,JL26,ACCOUNTING OFFICER (SPECIALIST),L,"$4,016.00","$5,029.00",,['19'],,1,6,2,,R01
4563,JL24,ACCOUNTING OFFICER (SUPERVISOR),,"$4,016.00","$5,029.00",,"['01', '19']",,1,12,2,,S01
1741,CU80,ACCOUNTING TECHNICIAN,A,"$2,758.00","$3,455.00",,,,1,6,2,,R04
1741,CU80,ACCOUNTING TECHNICIAN,L,"$2,758.00","$3,455.00",,,,1,6,2,,R04
8319,TR52,"ACTIVITY COORDINATOR, VETERANS HOME AND MEDICAL CENTER",,"$2,319.00","$2,904.00",,['19'],,1,6,2,,R20
5509,LP61,"ACTUARIAL ASSISTANT TRAINEE, CALPERS",A,"$3,247.00","$3,689.00",,"['01', '19', '21']",['381'],1,12,2,,R01
5509,LP61,"ACTUARIAL ASSISTANT TRAINEE, CALPERS",B,"$3,350.00","$3,992.00",,"['01', '19', '21']",['381'],1,12,2,,R01
5509,LP61,"ACTUARIAL ASSISTANT TRAINEE, CALPERS",C,"$4,016.00","$4,788.00",,"['01', '19', '21']",['381'],1,12,2,,R01
5552,LP62,"ACTUARIAL ASSISTANT, CALPERS",,"$4,600.00","$5,758.00",,['19'],,1,6,2,,R01
6080,LP70,ACTUARIAL STATISTICIAN,A,"$4,600.00","$5,758.00",,['19'],,1,6,2,,R01
6080,LP70,ACTUARIAL STATISTICIAN,B,"$5,053.00","$6,325.00",,['19'],,1,6,2,,R01
5420,LP50,ACTUARY STATE COMPENSATION INSURANCE FUND,A,"$7,088.00","$8,048.00",,"['01', '19']",['242'],1,12,E,,M01
5420,LP50,ACTUARY STATE COMPENSATION INSURANCE FUND,B,"$7,792.00","$8,849.00",,"['01', '19']",['242'],1,12,E,,M01
2681,EJ20,"ADAPTIVE DRIVER EVALUATION SPECIALIST, DEPARTMENT OF REHABILITATION",A,"$4,191.00","$5,245.00",,"['01', '19']",['047'],1,12,2,,R21
2681,EJ20,"ADAPTIVE DRIVER EVALUATION SPECIALIST, DEPARTMENT OF REHABILITATION",F,"$3,492.50","$4,370.83",,"['01', '19']",['047'],1,12,2,,R21
6033,OA05,ADMINISTRATIVE ADVISER II C.E.A.,,"$9,114.00","$10,559.00",,['01'],,1,12,E,,M02
5361,KG40,ADMINISTRATIVE ASSISTANT I,A,"$3,824.00","$4,788.00",,['29'],,1,6,2,,R01
5361,KG40,ADMINISTRATIVE ASSISTANT I,B,"$4,001.00","$5,010.00",,['29'],,1,6,2,,R01
5361,KG40,ADMINISTRATIVE ASSISTANT I,L,"$3,824.00","$4,788.00",,['29'],,1,6,2,,R01
5361,KG40,ADMINISTRATIVE ASSISTANT I,M,"$4,001.00","$5,010.00",,['29'],,1,6,2,,R01
5358,KG30,ADMINISTRATIVE ASSISTANT II,A,"$4,600.00","$5,758.00",,"['19', '29']",,1,6,2,,R01
5358,KG30,ADMINISTRATIVE ASSISTANT II,L,"$4,600.00","$5,758.00",,"['19', '29']",,1,6,2,,R01
7363,OX31,"ADMINISTRATIVE LAW JUDGE I, AIR RESOURCES BOARD",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
9711,OX72,"ADMINISTRATIVE LAW JUDGE I, ALCOHOLIC BEVERAGE CONTROL",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6095,OX15,"ADMINISTRATIVE LAW JUDGE I, BOARD OF PAROLE HEARINGS",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6134,OX32,"ADMINISTRATIVE LAW JUDGE I, DEPARTMENT OF INSURANCE",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6177,OU35,"ADMINISTRATIVE LAW JUDGE I, DEPARTMENT OF SOCIAL SERVICES",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6125,OY50,"ADMINISTRATIVE LAW JUDGE I, NEW MOTOR VEHICLE BOARD",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6071,OX90,"ADMINISTRATIVE LAW JUDGE I, OFFICE OF ADMINISTRATIVE HEARINGS",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6122,OY40,"ADMINISTRATIVE LAW JUDGE I, PUBLIC EMPLOYMENT RELATIONS BOARD",,"$7,840.00","$9,765.00",,"['01', '19']",,1,12,E,,E97
6103,OX70,"ADMINISTRATIVE LAW JUDGE I, PUBLIC UTILITIES COMMISSION",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6118,OY18,"ADMINISTRATIVE LAW JUDGE I, STATE PERSONNEL BOARD",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
6091,OX30,"ADMINISTRATIVE LAW JUDGE I, UNEMPLOYMENT INSURANCE APPEALS BOARD",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
9710,OX74,"ADMINISTRATIVE LAW JUDGE II (SPECIALIST), ALCOHOLIC BEVERAGE CONTROL",,"$8,215.00","$10,339.00",,"['01', '19']",,1,12,E,,R02
6178,OU45,"ADMINISTRATIVE LAW JUDGE II (SPECIALIST), DEPARTMENT OF SOCIAL SERVICES",,"$8,215.00","$10,339.00",,"['01', '19']",,1,12,E,,R02
6068,OX80,"ADMINISTRATIVE LAW JUDGE II (SPECIALIST), OFFICE OF ADMINISTRATIVE HEARINGS",A,"$8,215.00","$10,339.00",,"['01', '19']",['285'],1,12,E,,R02
6068,OX80,"ADMINISTRATIVE LAW JUDGE II (SPECIALIST), OFFICE OF ADMINISTRATIVE HEARINGS",L,"$8,215.00","$10,240.00",,"['01', '19']",['285'],1,12,E,,R02
6124,OY22,"ADMINISTRATIVE LAW JUDGE II (SPECIALIST), STATE PERSONNEL BOARD",,"$8,215.00","$10,339.00",,"['01', '19']",,1,12,E,,R02
6179,OU55,"ADMINISTRATIVE LAW JUDGE II (SUPERVISOR), DEPARTMENT OF SOCIAL SERVICES",,"$8,223.00","$10,247.00",,"['01', '19']",,1,12,E,,S02
6096,OX16,"ADMINISTRATIVE LAW JUDGE II, BOARD OF PAROLE HEARINGS",,"$8,223.00","$10,247.00",,"['01', '19']",,1,12,E,,S02
6136,OX34,"ADMINISTRATIVE LAW JUDGE II, DEPARTMENT OF INSURANCE",,"$8,223.00","$10,247.00",,"['01', '19']",,1,12,E,,S02
6123,OY45,"ADMINISTRATIVE LAW JUDGE II, PUBLIC EMPLOYMENT RELATIONS BOARD",,"$8,223.00","$10,247.00",,"['01', '19']",,1,12,E,,E97
6102,OX60,"ADMINISTRATIVE LAW JUDGE II, PUBLIC UTILITIES COMMISSION",,"$8,215.00","$10,339.00",,"['01', '19']",,1,12,E,,R02
6067,OX25,"ADMINISTRATIVE LAW JUDGE II, UNEMPLOYMENT INSURANCE APPEALS BOARD",A,"$8,215.00","$10,339.00",,"['01', '19']",['285'],1,12,E,,R02
6067,OX25,"ADMINISTRATIVE LAW JUDGE II, UNEMPLOYMENT INSURANCE APPEALS BOARD",L,"$8,215.00","$10,240.00",,"['01', '19']",['285'],1,12,E,,R02
6126,OY52,ADMINISTRATIVE LAW JUDGE II. NEW MOTOR VEHICLE BOARD,,"$8,215.00","$10,339.00",,"['01', '19']",,1,12,E,,R02
6132,OX99,ADMINISTRATIVE LAW JUDGE III,,"$8,506.00","$10,856.00",,"['01', '19']",,1,12,E,,R02
6130,OY46,"ADMINISTRATIVE LAW JUDGE, DEPARTMENT OF HEALTH SERVICES",,"$7,835.00","$9,855.00",,"['01', '19']",,1,12,E,,R02
